Bank,Period,Source_URL,Local_File
Standard Chartered,2013-Q2,https://www.sc.com/en/uploads/sites/66/content/docs/Half_Year_Report_2013.pdf,Standard Chartered_2013-Q2.pdf
Standard Chartered,2013-Q4,https://www.sc.com/en/uploads/sites/66/content/docs/Annual_Report_2013.pdf,Standard Chartered_2013-Q4.pdf
Standard Chartered,2014-Q2,https://www.sc.com/EN/uploads/sites/66/content/docs/Half_Year_Report_2014.pdf,Standard Chartered_2014-Q2.pdf
Standard Chartered,2014-Q4,https://www.sc.com/en/uploads/sites/66/content/docs/2014-Press-Release.pdf,Standard Chartered_2014-Q4.pdf
Standard Chartered,2015-Q1,https://www.sc.com/en/uploads/sites/66/content/docs/Standard_Chartered_PLC_IMS_Q1_28_Apr_2015_FINAL.pdf,Standard Chartered_2015-Q1.pdf
Standard Chartered,2015-Q2,https://www.sc.com/en/uploads/sites/66/content/docs/Half_Year_Report_2015.pdf,Standard Chartered_2015-Q2.pdf
Standard Chartered,2015-Q4,https://www.sc.com/en/uploads/sites/66/content/docs/Annual_Report_2015.pdf,Standard Chartered_2015-Q4.pdf
Standard Chartered,2016-Q1,https://www.sc.com/en/uploads/sites/66/content/docs/Standard_Chartered_PLC_IMS_Q1_26_Apr_2016.pdf,Standard Chartered_2016-Q1.pdf
Standard Chartered,2016-Q3,https://www.sc.com/en/uploads/sites/66/content/docs/Standard_Chartered_PLC_-_Q3_Interim_Management_Statement.pdf,Standard Chartered_2016-Q3.pdf
Standard Chartered,2017-Q1,https://www.sc.com/en/uploads/sites/66/content/docs/Standard_Chartered_PLC_IMS_Q1_April_2017.pdf,Standard Chartered_2017-Q1.pdf
Standard Chartered,2017-Q3,https://www.sc.com/en/uploads/sites/66/content/docs/Standard_Chartered_PLC_IMS_Q3_1_Nov_2017_FINAL.pdf,Standard Chartered_2017-Q3.pdf
Standard Chartered,2017-Q4,https://www.sc.com/en/uploads/sites/66/content/docs/Standard-Chartered-PLC-2017-Annual-Report.pdf,Standard Chartered_2017-Q4.pdf
Standard Chartered,2018-Q1,https://www.sc.com/en/uploads/sites/66/content/docs/Standard_Chartered_PLC_IMS_Q1_2_May_2018.pdf,Standard Chartered_2018-Q1.pdf
Standard Chartered,2018-Q3,https://www.sc.com/en/uploads/sites/66/content/docs/Standard_Chartered_PLC_IMS_Q3_31_Oct_2018.pdf,Standard Chartered_2018-Q3.pdf
Standard Chartered,2018-Q4,https://www.sc.com/EN/uploads/sites/66/content/docs/annual-report-18.pdf,Standard Chartered_2018-Q4.pdf
Standard Chartered,2019-Q2,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-hy-2019-press-release.pdf,Standard Chartered_2019-Q2.pdf
Standard Chartered,2019-Q3,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-3q-2019-results.pdf,Standard Chartered_2019-Q3.pdf
Standard Chartered,2019-Q4,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-full-year-2019-report.pdf,Standard Chartered_2019-Q4.pdf
Standard Chartered,2022-Q2,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-hy-2022-report.pdf,Standard Chartered_2022-Q2.pdf
Standard Chartered,2022-Q3,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-3q-2022-results.pdf,Standard Chartered_2022-Q3.pdf
Standard Chartered,2023-Q2,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-hy-2023-report.pdf,Standard Chartered_2023-Q2.pdf
Standard Chartered,2023-Q3,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-3q-2023-results.pdf,Standard Chartered_2023-Q3.pdf
Standard Chartered,2023-Q4,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-full-year-2023-press-release.pdf,Standard Chartered_2023-Q4.pdf
Standard Chartered,2024-Q1,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-1q-2024-results.pdf,Standard Chartered_2024-Q1.pdf
Standard Chartered,2024-Q2,https://www.sc.com/EN/uploads/sites/66/content/docs/standard-chartered-plc-hy-2024-report.pdf,Standard Chartered_2024-Q2.pdf
Standard Chartered,2024-Q3,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-3q-2024-results.pdf,Standard Chartered_2024-Q3.pdf
Standard Chartered,2024-Q4,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-full-year-2024-report.pdf,Standard Chartered_2024-Q4.pdf
Standard Chartered,2025-Q1,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-q1-2025-results.pdf,Standard Chartered_2025-Q1.pdf
Standard Chartered,2025-Q2,https://www.sc.com/EN/uploads/sites/66/content/docs/standard-chartered-plc-hy-2025-report.pdf,Standard Chartered_2025-Q2.pdf
Standard Chartered,2025-Q3,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-q3-2025-results.pdf,Standard Chartered_2025-Q3.pdf
Standard Chartered,2025-Q4,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-2025-annual-report.pdf,Standard Chartered_2025-Q4.pdf
Standard Chartered,2026-Q1,URL Not Found,Standard Chartered_2026-Q1.pdf
